Agrément	Localité	Désignation	Ligue	Département
1139000	CD DU JURA	COMITE DEPARTEMENTAL DU JURA	11	1139000
1240000	CD LANDES	COMITE DEPARTEMENTAL LANDES	12	1240000
2441000	CD LOIR ET CHER	COMITE DEPARTEMENTAL LOIR ET CHER	24	2441000
3342000	CD DE LA LOIRE	COMITE DEPARTEMENTAL DE LA LOIRE	33	3342000
1443000	CD DE LA HAUTE LOIRE	COMITE DEPARTEMENTAL DE LA HAUTE LOIRE	14	1443000
2244000	CD LOIRE ATLANTIQUE	COMITE DEPARTEMENTAL LOIRE ATLANTIQUE	22	2244000
2445000	CD LOIRET	COMITE DEPARTEMENTAL LOIRET	24	2445000
3246000	CD LOT	COMITE DEPARTEMENTAL LOT	32	3246000
1247000	CD LOT ET GARONNE	COMITE DEPARTEMENTAL LOT ET GARONNE	12	1247000
2048000	CD LOZERE	COMITE DEPARTEMENTAL LOZERE	20	2048000
2249000	CD MAINE ET LOIRE	COMITE DEPARTEMENTAL MAINE ET LOIRE	22	2249000
1350000	CD DE LA MANCHE	COMITE DEPARTEMENTAL DE LA MANCHE	1300	1350000
2851000	CD MARNE	COMITE DEPARTEMENTAL MARNE	28	2851000
2852000	CD HAUTE MARNE	COMITE DEPARTEMENTAL HAUTE MARNE	28	2852000
2253000	CD MAYENNE	COMITE DEPARTEMENTAL MAYENNE	22	2253000
2154000	CD MEURTHE ET MOSELLE	COMITE DEPARTEMENTAL MEURTHE ET MOSELLE	21	2154000
2155000	CD MEUSE	COMITE DEPARTEMENTAL MEUSE	21	2155000
2956000	CD MORBIHAN	COMITE DEPARTEMENTAL MORBIHAN	29	2956000
2157000	CD MOSELLE	COMITE DEPARTEMENTAL MOSELLE	21	2157000
1558000	CD NIEVRE	COMITE DEPARTEMENTAL NIEVRE	15	1558000
1759000	CD NORD	COMITE DEPARTEMENTAL NORD	17	1759000
0260000	CD OISE	COMITE DEPARTEMENTAL OISE	0200	0260000
1361000	CD DE L'ORNE	COMITE DEPARTEMENTAL DE L'ORNE	1300	1361000
1762000	CD PAS DE CALAIS	COMITE DEPARTEMENTAL PAS DE CALAIS	17	1762000
1463000	CD PUY DE DOME	COMITE DEPARTEMENTAL PUY DE DOME	14	1463000
1264000	CD PYRENEES ATLANTIQUES	COMITE DEPARTEMENTAL PYRENEES ATLANTIQUES	12	1264000
3265000	CD HAUTES PYRENEES	COMITE DEPARTEMENTAL HAUTES PYRENEES	32	3265000
2066000	CD PYRENEES ORIENTALES	COMITE DEPARTEMENTAL PYRENEES ORIENTALES	20	2066000
3167000	CD BAS RHIN	COMITE DEPARTEMENTAL BAS RHIN	31	3167000
3168000	CD HAUT RHIN	COMITE DEPARTEMENTAL HAUT RHIN	31	3168000
3369000	CD RHONE	COMITE DEPART. RHONE	33	3369000
1170000	CD HAUTE SAONE	COMITE DEPARTEMENTAL HAUTE SAONE	11	1170000
1571000	CD SAONE ET LOIRE	COMITE DEPARTEMENTAL SAONE ET LOIRE	15	1571000
2272000	CD SARTHE	COMITE DEPARTEMENTAL SARTHE	22	2272000
3373000	CD SAVOIE	COMITE DEPARTEMENTAL SAVOIE	33	3373000
3374000	CD HAUTE SAVOIE	COMITE DEPARTEMENTAL HAUTE SAVOIE	33	3374000
2575000	CD PARIS	COMITE DEPARTEMENTAL PARIS	2500	2575000
