Agrément	Localité	Désignation	Ligue	Département
0960015	SENLIS P DE MAUX	CIE DE SENLIS PORTE DE MEAUX	0200000	020060000
0960016	VAUCIENNES	CIE D'ARC DE VAUCIENNES	0200000	020060000
0960017	VERBERIE	CIE D'ARC DE VERBERIE	0200000	020060000
0960021	VAUMOISE	CIE D'ARC DE VAUMOISE	0200000	020060000
0960023	ROUVRES EN MULTIEN	CIE D'ARC DE ROUVRES EN MULTIEN	0200000	020060000
0960025	BETZ	COMPAGNIE D'ARC DE BETZ	0200000	020060000
0960026	BONNEUIL EN VALOIS	CIE D'ARC DE BONNEUIL EN VALOIS	0200000	020060000
1002002	CAILLOUEL CREPIGNY	CIE DE CAILLOUEL CREPIGNY	0200000	020002000
1002003	COMMENCHON	TIR A L'ARC COMMENCHON	0200000	020002000
1002006	CHAUNY	CIE D'ARC DE CHAUNY	0200000	020002000
1002007	LA FERE	CIE DE TIR A L'ARC LA FERE	0200000	020002000
1002009	GUIVRY	CIE D'ARC DE GUIVRY	0200000	020002000
1002015	VILLEQUIER AUMONT	TIR A L'ARC VILLEQUIER AUMONT	0200000	020002000
1002019	NAUROY	TIR A L'ARC NAUROY	0200000	020002000
1002023	ST QUENTIN	SAINT-QUENTIN TIR A L'ARC	0200000	020002000
1002025	HIRSON	LES ARCHERS DES 3 RIVIERES	0200000	020002000
1002028	ETREUX	L'ARCHER DU GARD	0200000	020002000
1002029	SEBONCOURT	LES ARCHERS DE SEBONCOURT .	0200000	020002000
1060005	BUSSY	CIE D'ARC DE BUSSY	0200000	020060000
1060008	GUISCARD	CIE D ARC GUISCARD	0200000	020060000
1060010	MORLINCOURT	CIE D'ARC MORLINCOURT	0200000	020060000
1060011	NOYON	CIE D'ARC DE NOYON	0200000	020060000
1060012	SALENCY	CIE D'ARC DE SALENCY	0200000	020060000
1060014	VILLE	CIE D'ARC DE VILLE	0200000	020060000
1060024	CHIRY OURSCAMP	COMPAGNIE D'ARC	0200000	020060000
1060030	BEAULIEU LES FONTAINES	CIE D'ARC DE BEAULIEU LES FONTAINES	0200000	020060000
1125002	BESANCON AC	ARC CLUB BISONTIN	1100000	1125000
1125013	PONTARLIER (25)	ARCHERS DE LA FAUCONNIERE	1100000	1125000
1125015	ARCEY	1ERE CIE D'ARC D'ARCEY	1100000	1125000
1125017	MARCHAUX	LES COMPAGNONS DE L'OREE DU BOIS	1100000	1125000
1125026	ARBOUANS	LA FLECHE ARBOUANAISE	1100000	1125000
1125036	VERCEL	LES ARCHERS DE FONTENYS	1100000	1125000
1125046	BESANCON CSAMB	LES ARCHERS DU C.S.A.M.B.	1100000	1125000
1125047	TORPES	SPORTS ET LOISIRS DE TORPES	1100000	1125000
1125049	THISE	COMPAGNIE D'ARC DE THISE	1100000	1125000
1125061	BOUCLANS	LES ARCHERS DU PLATEAU	1100000	1125000
1125062	CHATILLON LE DUC	ASSOCIATION CLUB 2000	1100000	1125000
1125068	BESANCON DB	LA DECOCHE BISONTINE	1100000	1125000
1139003	DAMPARIS	LES COMPAGNONS DE L'ABBAYE	1100000	1139000
1139006	TAVAUX	A.S.T.U.S.	1100000	1139000
1139007	DOLE	SOCIETE DE L'ARC DE DOLE	1100000	1139000
1139009	MOREZ	ARCHERS DE LACUZON	1100000	1139000
1139010	CHAMPAGNOLE	LES ARCHERS DE MONTRIVEL	1100000	1139000
1139011	LONS LE SAUNIER	1ERE CIE DES ARCHERS DE MONTCIEL	1100000	1139000
1139022	SAINT CLAUDE ASPTT	A.S.P.T.T.	1100000	1139000
1139028	ST LUPICIN	LES ARCHERS DU LIZON	1100000	1139000
1139029	ASNANS	CIE ARCHERS MONTALEGRE	1100000	1139000
1139055	PARCEY	CIE DES ARCHERS DU VAL D'AMOUR	1100000	1139000
1139067	ST JULIEN SUR SURAN	CIE DES ARCHERS DE LA PETITE MONTAGNE	1100000	1139000
1170016	VESOUL	1ERE COMPAGNIE D'ARC DE VESOUL	1100000	1170000
1170021	DAMPIERRE SUR SALON	LES COMPAGNONS D ARCHERUS	1100000	1170000
1170030	PORT SUR SAONE	LES ARCHERS DU BOIS CHATELARD	1100000	1170000
1170032	AVRIGNEY	COMPAGNONS DU 6EME SENS	1100000	1170000
1170033	LURE	1 CIE ARCHER LURON	1100000	1170000
1170048	GY	LES ARCHERS DES MONTS DE GY	1100000	1170000
1170053	GRAY	LES COMPAGNONS DES 3 FLAMMES	1100000	1170000
1170057	CHAMPAGNEY	CIE D'ARC DE LA VALLEE DU RAHIN	1100000	1170000
1170058	MARNAY	LES ARCHERS DU VAL DE L'OGNON	1100000	1170000
1170059	CORRE	LES ARCHERS DU CONEY	1100000	1170000
1170063	LUXEUIL AIR	1ERE COMPAGNIE DES DEUX TOURS	1100000	1170000
1170065	MONTCEY	ARCS CHASSES LOISIRS HAUTE SAONE	1100000	1170000
1190001	BELFORT 1ER	1ERE COMPAGNIE D'ARC	1100000	1190000
1190023	LES ARCHERS DU VALDOIE (AVO)	ASSOCIATION DU VAL D'OYE	1100000	1190000
1190031	BELFORT LION	CIE DES ARCHERS DU LION	1100000	1190000
1190041	BELFORT SAVOUREUSE	LES ARCHERS DE LA SAVOUREUSE - BELFORT	1100000	1190000
1190045	MORVILLARS	CIE DU BOIS DE LA VOIVRE	1100000	1190000
1190060	BOUROGNE	CLUB SPORTIF ET ARTISTIQUE ROYAL ARTILLERIE	1100000	1190000
1190064	GRANDVILLARS	LES ARCHERS DE L'AVENIR	1100000	1190000
1224006	LA FORCE	1ERE CIE D'ARC DU PERIGORD	1200000	1224000
1224009	PERIGUEUX	CIE D'ARC DE PERIGUEUX	1200000	1224000
1224011	SARLAT	SARLAT OLYMPIQUE CLUB	1200000	1224000
1224094	RIBERAC	LES ARCHERS DE L'ETOILE	1200000	1224000
1224112	BERGERAC	CIE ARCHERS DE CYRANO BERGERAC	1200000	1224000
1224113	NONTRON	LES ARCHERS DU HAUT-PERIGORD	1200000	1224000
1224138	VILLEFRANCHE DE LONCHAT	LES FLECHES POURPRES	1200000	1224000
1224142	LA ROCHE CHALAIS	LES ARCHERS DE LA DOUBLE	1200000	1224000
1224143	CHAMPCEVINEL	FLECHE ASSOCIATION CHAMPCEVINEL	1200000	1224000
1224147	EYMET	LES ARCHERS D'EYMET	1200000	1224000
1233001	BORDEAUX	LES ARCHERS DE GUYENNE	1200000	1233000
1233002	BASSIN D'ARCACHON	ARCHERS DU BASSIN D'ARCACHON	1200000	1233000
1233022	FLOIRAC	ARC AVIA CLUB DE BORDEAUX	1200000	1233000
1233026	LA REOLE	ARCHERS DES QUAT SOS	1200000	1233000
1233029	LIBOURNE	ASL TIR A L ARC	1200000	1233000
1233039	LE BOUSCAT	LES ARCHERS DU BOSQUET	1200000	1233000
1233040	LE HAILLAN	ASSOCIATION SPORTIVE SNECMA BORDEAUX	1200000	1233000
1233045	ST VIVIEN DE MEDOC	LES ARCHERS DU MEDOC	1200000	1233000
1233046	PUISSEGUIN	1RE CIE D'ARC DE ST EMILION	1200000	1233000
1233052	CAMBLANES ET MEYNAC	LE BLASON CAMBLANAIS	1200000	1233000
1233054	SAINT MEDARD EN JALLES	ST MEDARD ARCHERS DES JALLES	1200000	1233000
1233067	LA LANDE DE FRONSAC	ARCHERS DE LA LANDE DE FRONSAC	1200000	1233000
1233071	CESTAS	S.A.G.C. SECTION TIR A L'ARC	1200000	1233000
1233074	CADILLAC	ARCHERS DES DUCS D'EPERNON	1200000	1233000
1233076	PAREMPUYRE	CIE HAUT MEDOC	1200000	1233000
1233089	LEOGNAN	LES ARCHERS DE LEOGNAN	1200000	1233000
1233092	ANDERNOS	A C S L ARCHERS D'ANDERNOS	1200000	1233000
1233097	LE TEICH	LES ARCHERS DU TEICH	1200000	1233000
1233099	BEGLES	AMICALE ET PATRONAGE DE BEGLES	1200000	1233000
1233100	BAZAS	ARCHERS CLUB BAZADAIS	1200000	1233000
1233101	MERIGNAC	LES ARCHERS DU SAM	1200000	1233000
1233107	AMBARES	ASSOCIATION SPORTIVE AMBARESIENNE	1200000	1233000
1233108	BLANQUEFORT	INDIAN'S ARC	1200000	1233000
1233124	ST SULPICE ET CAMEYRAC	LES ARCHERS DE ST SULPICE ET CAMEYRAC	1200000	1233000
1233126	ARSAC	LES ARCHERS D'ARSAC	1200000	1233000
1233132	ST CIERS/GIRONDE	LES ARCHERS DE ST CIERS/GIRONDE	1200000	1233000
1233133	MOMBRIER	ASSOCIATION BIATHLON DES VIGNES	1200000	1233000
1233136	CASTELNAU DE MEDOC	LES ARCHERS DE LA LANDE CASTELNAUDAISE	1200000	1233000
1233137	LANTON	CIE D'ARC DE BLAGON LANTON	1200000	1233000
1233140	PAUILLAC	SPIC SECTION TIR A L ARC	1200000	1233000
1233145	LE NIZAN	NIZAN'ARC	1200000	1233000
1233146	HOURTIN CEDEX	USCH SECTION TIR A L'ARC	1200000	1233000
1233148	AUROS	LES ARCHERS D'AUROS	1200000	1233000
1240023	OEYRELUY	LES ARCHERS DU LUY	1200000	1240000
1240036	BISCARROSSE	BISCARROSSE OLYMPIQUE	1200000	1240000
1240041	AZUR	ARCHERS D'AZUR	1200000	1240000
1240095	SAINT PIERRE DU MONT	ARCHERS DE SAINT PIERRE DU MONT	1200000	1240000
1240110	DAX	LA JEANNE D'ARC DE DAX	1200000	1240000
1240111	ARTASSENX	LAGLORIEUSE ARTASSENX ARC CLUB	1200000	1240000
1240114	HAGETMAU	ARC GETMAU	1200000	1240000
1240116	COMMENSACQ.	LES ARCHERS DES DEUX LEYRE	1200000	1240000
1240118	MESSANGES	CIE DES ARCHERS DE MESSANGES	1200000	1240000
1240119	MONT DE MARSAN	LES ARCHERS DU DONJON	1200000	1240000
1240130	PONTENX LES FORGES	CIE D'ARCHERS PONTENX LES FORGES	1200000	1240000
1247020	NERAC	CIE DES ARCHERS DU ROY DE NERAC EN VAL D'ALBRET	1200000	1247000
1247028	MARMANDE	ARCHERS CLUB MARMANDAIS	1200000	1247000
1247044	TOMBEBOEUF	LES ARCHERS DE TOMBEBOEUF	1200000	1247000
1247050	TONNEINS	ARCHER CLUB TONNEINQUAIS	1200000	1247000
1247056	BOE	ARCHERS DE BOE	1200000	1247000
1247063	CASTELMORON SUR LOT	LES ARCHERS DU CASTEL	1200000	1247000
1247075	AIGUILLON	CLUB ARCHERS AIGUILLONNAIS	1200000	1247000
1247077	STE MAURE DE PEYRIAC	ARCHERS DE LA TENAREZE	1200000	1247000
1247085	SAINTE BAZEILLE	LES ARCHERS DE L'OUSTAU	1200000	1247000
1247088	DAMAZAN	LES ARCHERS DES CENTS TOURS	1200000	1247000
1247096	VILLENEUVE SUR LOT	LES ARCHERS DES DEUX RIVES	1200000	1247000
1247098	MEILHAN SUR GARONNE	CLUB DES ARCHERS MEILHANAIS	1200000	1247000
1247121	AGNAC	L ARC D AGNAC	1200000	1247000
1247127	ST COLOMB DE LAUZUN	TIR 2000	1200000	1247000
1247129	PENNE-STSYLVESTRE	LES ARCHERS DES BASTIDES	1200000	1247000
1247134	ANZEX	FLECHE DES PORTES DE GASCOGNE	1200000	1247000
1247144	LAGRUERE	LES ARCHERS DE LAGRUERE	1200000	1247000
1264004	PAU VERT GALANT	ARCHERS DU VERT GALANT	1200000	1264000
1264012	LESCAR	COMPAGNONS DE L'ARC	1200000	1264000
1264027	SOUMOULOU	LOS ARQUES DE L'OUSSE	1200000	1264000
1264030	BIARRITZ	LES ARCHERS DE LA HUMADE	1200000	1264000
1264034	BOUCAU TARNOS	S.I.C.S.- B.T TIR A L'ARC	1200000	1264000
1264115	MALAUSSANNE	LES ARCHERS DU LUY DE FRANCE	1200000	1264000
1264123	BORDES ASCT	ASS SPORT ET CULT TURBOMECA	1200000	1264000
1264131	ORTHEZ	LA FLECHE ORTHEZIENNE	1200000	1264000
1264141	URRUGNE	ARCHERS DE LARRUN	1200000	1264000
1264149	LANNEPLAA	LES ROBINS BEARNAIS	1200000	1264000
1264150	A.S.H.O.	ARC SARBACANE HERRERE OLORON	1200000	1264000
1314003	CAEN	ARCHERS DE CAEN	1300000	130014000
1314004	VIRE	CIE TIR A L'ARC USM VIRE	1300000	130014000
1314015	BAYEUX	CIE DES ARCHERS DE BAYEUX	1300000	130014000
1314016	HONFLEUR	LES ARCHERS DE L'ESTUAIRE	1300000	130014000
1314020	ST PIERRE SUR DIVES	ST PIERRE SUR DIVES	1300000	130014000
1314021	CONDE SUR NOIREAU	COMPAGNIE D'ARC CONDE SUR NOIREAU	1300000	130014000
1314026	BRETTEVILLE SUR LAIZE	ESSOR DU VAL CLAIR	1300000	130014000
1314030	FALAISE	E.SPORTIVE FALAISIENNE	1300000	130014000
1314035	FONTENAY LE MARMION	LES APACHES	1300000	130014000
1314037	ARGENCES	ES A SECTION TIR A L ARC	1300000	130014000
1314040	OUISTREHAM	CIE DES ARCHERS DE OUISTREHAM	1300000	130014000
1314045	THURY HARCOURT	LES ARCHERS HARCOURTOIS	1300000	130014000
1314047	HEROUVILLE SAINT CLAIR	CIE DES ARCHERS D'HEROUVILLE	1300000	130014000
1314048	MERVILLE FRANCEVILLE	COMPAGNIE SAINT GEORGES DE MERVILLE	1300000	130014000
1314050	VERSON	LES ARCHERS DE L ODON	1300000	130014000
1314052	VILLERS SUR MER	ASSOC. DES JEUNES VILLERSOIS	1300000	130014000
1314070	CARPIQUET	LES ARCHERS DE L ELAN SPORTIF	1300000	130014000
1314072	COURSEULLES SUR MER	LES ARCHERS DE LA SEULLES	1300000	130014000
1314073	SOUMONT SAINT QUENTIN	LES ARCHERS DU MOULIN	1300000	130014000
1314077	TOUQUES	LES ARCHERS DE LA COTE FLEURIE	1300000	130014000
1314092	LISIEUX	MJC LISIEUX	1300000	130014000
1314093	LA CAMBE	LES CARQUOIS D'AURE	1300000	130014000
1350005	ASAM CHERBOURG-OCTEVILLE	A.S.A.M. TIR A L'ARC CHERBOURG-OCTEVILLE	1300000	130050000
1350007	CONDE SUR VIRE	CIE D'ARC JEAN DE MATIGNON	1300000	130050000
1350012	ST LO	ARC CLUB ST LOIS	1300000	130050000
1350014	BREHAL	COMPAGNIE DES ARCHERS BREHALAIS	1300000	130050000
1350019	MONTEBOURG	S.A.E.L.	1300000	130050000
1350024	AGNEAUX	FRANCS ARCHERS D'AGNEAUX	1300000	130050000
1350027	OHS CHERBOURG-OCTEVILLE	OHS CHERBOURG-OCTEVILLE	1300000	130050000
1350032	COUTANCES	ARCHERS DE LA ROSE AU BOUAIS	1300000	130050000
1350038	VILLEDIEU LES POELES	ARCHERS SOURDINS	1300000	130050000
1350042	ST HILAIRE DU HARCOUET	ARCHERS DU HARCOUET	1300000	130050000
1350069	DONVILLE LES BAINS	LES ARCHERS DONVILLAIS	1300000	130050000
1350071	AGON COUTAINVILLE	LES ARCONIES	1300000	130050000
1350073	LES PIEUX	ASSOCIATION DES ARCHERS PIEUSAIS	1300000	130050000
1350076	VASTEVILLE	CLUB DES ARCHERS DE LA HAGUE	1300000	130050000
1350078	CARENTAN	LES ARCHERS DU MARAIS	1300000	130050000
1350090	AVRANCHES	LES ARCHERS DES ABRINCATES	1300000	130050000
1361001	ALENCON ADD	LES ARCHERS DES DUCS	1300000	130061000
1361010	BANVOU	A S BANVOU	1300000	130061000
1361017	FLERS	PETITE A	1300000	130061000
1361033	DOMFRONT	COMPAGNIE D' ARC DOMFRONTAISE	1300000	130061000
1361034	ARGENTAN	BAYARD ARGENTAN	1300000	130061000
1361036	MORTAGNE AU PERCHE	UNION SPORTIVE MORTAGNE	1300000	130061000
1361039	SEES	AMICALE LAIQUE DE SEES	1300000	130061000
1361091	ASPTT ALENCON	ASPTT ALENCON	1300000	130061000
1403005	VICHY	LES ARCHERS DE VICHY	1400000	1403000
1403007	MONTLUCON AS	A S MONTLUCONNAISE	1400000	1403000
1403010	LA MONTLUCONNAISE	LA MONTLUCONNAISE	1400000	1403000
1403013	YZEURE MOULINS	CIE ARC YZEURE MOULINS	1400000	1403000
1403040	BOURBON L'ARCHAMBAULT	LES ARCHERS DE BOURBON	1400000	1403000
1403043	DOMPIERRE	ASD ARCHERS DOMPIERROIS	1400000	1403000
1403051	ST POURCAIN SUR SIOULE	S.T.A.R. ST POURCINOISE	1400000	1403000
1403054	VERNEUIL EN BOURBONNAIS	LES ARCHERS DE VERNEUIL	1400000	1403000
1403055	LURCY LEVIS	LURCY SPORTS LOISIRS ANIMATIONS	1400000	1403000
1403057	BESSAY SUR ALLIER	LES ARCHERS DE BESSAY	1400000	1403000
1403059	VILLEFRANCHE D'ALLIER	LES FLECHES DE VILLEFRANCHE (CIPS)	1400000	1403000
1403068	TREVOL	LES ROBINS TREVOLOIS	1400000	1403000
1415004	AURILLAC ASPTT	AURILLAC (ASPTT)	1400000	1415000
1415006	AURILLAC STADE	ARCHERS DU STADE AURILLACOIS	1400000	1415000
1415015	MAURIAC	MAURIAC ARCHERIE CLUB	1400000	1415000
1415028	SAIGNES	LA FLECHE DE LA SUMENE	1400000	1415000
1415048	ST FLOUR	LA SANFLORAINE	1400000	1415000
1443026	ESPALY ST MARCEL	1ERE CIE D'ARCHERS DU VELAY	1400000	1443000
1443033	PAULHAGUET	1ERE CIE DES ARCHERS DU CHALIERGUE	1400000	1443000
1443034	PRADELLES	LES ARCHERS PRADELAINS	1400000	1443000
1443039	POLIGNAC	CLUB DE L'ARC EN MAIN	1400000	1443000
1443045	LE PUY EN VELAY	LES ARCHERS DU FLEUVE	1400000	1443000
1443050	LAPTE	CLUB OMNISPORTS INTER COMMUNAL	1400000	1443000
1443053	YSSINGEAUX	ARCAM'YS LES ARCHERS DU PAYS DES SUCS	1400000	1443000
1443056	AUREC SUR LOIRE	FLECHE AURECOISE	1400000	1443000
1443062	COSTAROS	LA FLECHE COSTAROSSIENNE	1400000	1443000
1443063	BLESLE	LES ARCHERS DE VEDRINES	1400000	1443000
1443064	CHOMELIX	INSTINCT D'ARC	1400000	1443000
1443067	MONISTROL SUR LOIRE	MONIS-ARC 43	1400000	1443000
1463009	CLERMONT FERRAND CIE	CIE ARCHERS CLERMONTOIS	1400000	1463000
1463014	THIERS	THIERS ARC CLUB	1400000	1463000
1463019	RIOM	LES ARCHERS RIOMOIS	1400000	1463000
1463024	ISSOIRE	USI TIR A L'ARC	1400000	1463000
1463037	CHAMALIERES	ARC CLUB CHAMALIERES	1400000	1463000
1463038	CHATEL GUYON	LES ARCHERS DE CHATEL GUYON	1400000	1463000
1463041	LEZOUX	LEZOUX ARC RACING CLUB	1400000	1463000
1463042	LEMPDES	A.S.A.I.A.TIR A L'ARC	1400000	1463000
1463046	MIREFLEURS	LES ARCHERS DE MIREFLEURS	1400000	1463000
1463047	CLERMONT FERRAND UC	CLERMONT-UNIVERSITE-CLUB	1400000	1463000
1463048	ST-ELOY-LES-MINES	CIE DES ARCHERS ELOYSIENS	1400000	1463000
1463049	MARINGUES	MARINGUES ARC CLUB	1400000	1463000
1463060	GELLES	GEL'ARC	1400000	1463000
1463061	SAINT MYON	LES ARCHERS DES SOURCES	1400000	1463000
1463065	BLANZAT	LES ARCHERS BLANZATOIS	1400000	1463000
1463066	LEMPDES	AR'CLUB LAND	1400000	1463000
1521001	DIJON	1ERE CIE D'ARC DE DIJON	1500000	1521000
1521013	IS SUR TILLE	CLUB IS SUR TILLE TIR A L'ARC	1500000	1521000
1521014	BEAUNE	LES ARCHERS DU PAYS BEAUNOIS	1500000	1521000
1521026	CHENOVE	ATAC CHENOVE TIR A L'ARC	1500000	1521000
1521030	MARSANNAY LA COTE	LES ARCHERS PATARAS	1500000	1521000
1521035	CHEVIGNY SAINT SAUVEUR	TIR A L'ARC DU CLES	1500000	1521000
1521047	SEMUR EN AUXOIS	CIE ARC L AUXOIS	1500000	1521000
1521063	MEURSAULT	MEURSAULT ARCHERS CLUB	1500000	1521000
1521072	CHATILLON S/SEINE	LES ARCHERS DE LA FONTAINE DES DUCS	1500000	1521000
1521073	AUXONNE	LES ARCHERS AUXONNAIS	1500000	1521000
1521075	SAINT APOLLINAIRE	ASC TIR A L'ARC - CIE DES ARCHERS EPLEUMIENS	1500000	1521000
1521077	BELLENEUVE	LES ARCHERS DE L'ALBANE	1500000	1521000
1558007	COSNE SUR LOIRE	1ERE COMPAGNIE COSNE SUR LOIRE	1500000	1558000
1558009	LA CHARITE SUR LOIRE	LA CHARITE 1ERE	1500000	1558000
1558012	NEVERS	ARC DE NEVERS	1500000	1558000
1558078	ST MARTIN D'HEUILLE	LES ARCHERS DE ST MARTIN	1500000	1558000
1571002	CHALON SUR SAONE	FRANCS ARCHERS CHALONNAIS	1500000	1571000
1571015	AUTUN	COMPAGNIE D'ARC D'AUTUN	1500000	1571000
1571017	LE CREUSOT	ARCHER CLUB DU CREUSOT	1500000	1571000
1571020	MACON	COMPAGNIE DES ARCHERS MACONNAIS	1500000	1571000
1571029	PARAY LEMONIAL	LES ARCHERS TOUR ST NICOLAS	1500000	1571000
1571031	GUEUGNON	TIR A L'ARC GUEUGNON	1500000	1571000
1571032	ETRIGNY	CIE DES ARCHERS D'ETRIGNY	1500000	1571000
1571036	CLUNY	CIE D'ARCHERS LES BARABANS	1500000	1571000
1571039	LOUHANS	CIE DES ARCHERS LOUHANNAIS	1500000	1571000
1571044	MONTCEAU LES MINES	ARC CLUB MONTCEAU BOURGOGNE	1500000	1571000
1571048	CHAGNY	LES ARCHERS CHAGNOTINS	1500000	1571000
1571066	LA CHAPELLE THECLE	CIE DES ARCHERS BRESSANS	1500000	1571000
1571069	EPINAC	1ERE CIE D'ARCHERS EPINACOISE	1500000	1571000
1571074	BOURBON LANCY	LES ARCHERS BOURBONNIENS	1500000	1571000
1589004	AUXERRE 1ER	AUXERRE 1ERE COMPAGNIE	1500000	1589000
1589005	TONNERRE AS	A.S.T TIR A L'ARC	1500000	1589000
1589008	JOIGNY	USJ 1ERE CIE ST JACQUES	1500000	1589000
1589024	SENS	CIE DES ARCHERS SENONS	1500000	1589000
1589034	SAINT FARGEAU	CIE D'ARCHERS ST FARGEAU	1500000	1589000
1589043	MIGENNES	ASUCM TIR A L ARC MIGENNES	1500000	1589000
1589050	POURRAIN	JEUNE GARDE POURRAIN	1500000	1589000
1589054	MONETEAU	SECTION TIR A L'ARC DE L.U.S.C.M	1500000	1589000
1589060	TONNERRE AMICALE	AMICALE DES FONTENILLES TIR A L'ARC	1500000	1589000
1589062	BRIENON/ARMANCON	LA SENTINELLE	1500000	1589000
1589065	LES CADETS D'AUXERRE	LES CADETS D'AUXERRE TIR A L'ARC	1500000	1589000
1589067	ST MARTIN DU TERTRE	ST MARTIN ARCHERS CLUB	1500000	1589000
1589070	CHABLIS	LES ARCHERS DU CHABLISIEN	1500000	1589000
1589076	FLEURY LA VALLEE	COMPAGNIE DES ARCHERS DE ST LEU	1500000	1589000
1759004	BOUSBECQUE	ST SEBASTIEN BOUSBECQUE	1700000	1759000
1759006	DUNKERQUE	DUNKERQUE GUILLAUME TELL	1700000	1759000
1759007	ESCAUDAIN	ARCHERS ESCAUDINOIS	1700000	1759000
1759009	LIGNY CAUDRY	LES AMIS REUNIS	1700000	1759000
1759010	LILLE CIE	CIE D'ARC DE LILLE	1700000	1759000
1759011	LOOS	ENTENTE SAINT SEBASTIEN	1700000	1759000
1759015	ROUBAIX	CIE D'ARC ROUBAIX ST SEBASTIEN	1700000	1759000
1759016	TOURCOING	CONFRERIE D'ARC ST SEBASTIEN TOURCOING	1700000	1759000
1759021	NEUVILLE EN FERRAIN	LES AMIS DE ROBIN	1700000	1759000
1759026	CYSOING	CYSOING SAINT SEBASTIEN	1700000	1759000
1759029	VILLENEUVE D'ASCQ	SAINT SEBASTIEN VILLENEUVOISE	1700000	1759000
1759031	SECLIN	SECLINOISE ARCHERIE	1700000	1759000
1759033	AVESNELLES	LES ARCHERS D'AVESNELLES	1700000	1759000
1759039	BOUCHAIN CDPA	CENTRE PLEIN AIR BASSIN ROND	1700000	1759000
1759042	WILLEMS	COMPAGNIE DES ARCHERS	1700000	1759000
1759043	LEERS	ARCHERS LEERSOIS L.O.S.	1700000	1759000
1759046	WERVICQ SUD	A.S.T.A. WERVICQ-SUD	1700000	1759000
1759047	ST AMAND CIBLE	STE DES ARCHERS DE ST AMAND	1700000	1759000
1759055	BOUCHAIN BOA	BOUCHAIN OSTREVANT ARCHERY	1700000	1759000
1759056	WATTRELOS	ASSOCIATION TIR A L ARC WATTRELOS	1700000	1759000
1759061	ST AMAND NATURE	CIE DE CHASSE AMANDINOISE	1700000	1759000
1759062	GRAVELINES	GRAVELINES ARCHERIE CLUB	1700000	1759000
1759065	RONCQ	FRANCS ARCHERS RONCQ	1700000	1759000
1759069	BONDUES	CIE ARCHERS ST SEBASTIEN	1700000	1759000
1759071	COUDEKERQUE BRANCHE	CIE D'ARC DE COUDEKERQUE	1700000	1759000
1759073	LE QUESNOY	ARCHERS DE MORMAL	1700000	1759000
1759074	MARPENT	ARCHERS DE LA SAMBRE	1700000	1759000
1759075	JEUMONT	LA FLECHE JEUMONTOISE	1700000	1759000
1759077	PETITE SYNTHE	S.M.P.S. PETITE SYNTHE	1700000	1759000
1759079	VALENCIENNES	V.U.C. TIR A L'ARC	1700000	1759000
1759083	BERGUES	ARCHERS DU GROENBERG	1700000	1759000
1759084	BAVAY	CIE ARCHERS DE BAVAY ROMAINE	1700000	1759000
1759085	LA GORGUE	ARCHERS DE LA GORGUE	1700000	1759000
1759086	AULNOYE AYMERIES	ASETA AULNOYE	1700000	1759000
1759090	MARLY	ASSOC. DES ARCHERS DE MARLY	1700000	1759000
1759096	DOUAI	ARCHERS CLUB DE GAYANT	1700000	1759000
1759098	ONNAING	LES ARCHERS D'ONNAING	1700000	1759000
1759099	LILLE ASGE	ASGEL	1700000	1759000
1759102	HONDSCHOOTE	SPINNEWYN TIR A L'ARC	1700000	1759000
1759104	LINSELLES	LES ARCHERS LINSELLOIS	1700000	1759000
1759108	STEENWERCK	LA COMPAGNIE D'ARC DE STEENWERCK	1700000	1759000
1759109	QUESNOY SUR DEULE	LES ARCHERS QUESNOY SUR DEULE	1700000	1759000
1759113	FERRIERE LA GRANDE	LES ARCHERS DE L'ECREVISSE	1700000	1759000
1759114	GRANDE SYNTHE	OLYMPIQUE DE GRANDE SYNTHE TIR A L'ARC	1700000	1759000
1759115	COURCHELETTES	TIR A L'ARC COURCHELETTES	1700000	1759000
1759118	LOMME	OSML TIR A L'ARC	1700000	1759000
1759121	AULNOY LEZ VALENCIENNES	LES FRANCS ARCHERS D'AULNOY LEZ VALENCIENNES	1700000	1759000
1762023	ARRAS	RACING CLUB D'ARRAS TIR A L'ARC	1700000	1762000
1762024	LE TOUQUET	1ERE COMPAGNIE LE TOUQUET	1700000	1762000
1762025	MONCHY AU BOIS	LES ARCHERS REUNIS	1700000	1762000
1762037	BOULOGNE SUR MER	CLUB DES ARCHERS BOULONNAIS	1700000	1762000
1762044	SALLAUMINES	A.O.S. TIR A L'ARC	1700000	1762000
1762048	LE RAVIN	LES ARCHERS DU RAVIN	1700000	1762000
1762051	LIEVIN	COMPAGNONS DU TIR A L'ARC	1700000	1762000
1762078	SANGATTE BLERIOT	LES ARCHERS DES DUNES	1700000	1762000
1762082	BULLY LES MINES	FRANCS TIREURS ARTESIENS	1700000	1762000
1762088	SAINT POL SUR TERNOISE	ARCHERS DU TERNOIS	1700000	1762000
1762089	WINGLES	ARC CLUB DE WINGLES DOUVRIN BILLY BERCLA	1700000	1762000
1762091	ETAPLES/MER	LA FLECHE ETAPLOISE	1700000	1762000
1762093	AIRE SUR LA LYS	LA FLECHE AIROISE	1700000	1762000
1762094	BERCK SUR MER	LE BLASON BERCKOIS HAND.PHYSIQ	1700000	1762000
1762097	CARVIN	CIE D ARCHERS DE CARVIN	1700000	1762000
1762103	OIGNIES	CIE DE TIR A L'ARC OIGNIES	1700000	1762000
