Agrément	Localité	Désignation	Ligue	Département	Code postal
3301009	PREVESSIN-MOENS	ARC CLUB GESSIEN	3300000	3301000	01280
3301012	BOURG EN BRESSE	COMPAGNIE DE BOURG EN BRESSE	3300000	3301000	01000
3301026	OYONNAX	SEL TIR A L'ARC OYONNAX	3300000	3301000	01100
3301032	MONTREVEL EN BRESSE	ARCHERS BRESSANS	3300000	3301000	01340
3301036	BELLEGARDE SUR VALSERINE	ARCHERS DE LA VALSERINE	3300000	3301000	01200
3301037	MONTREAL LA CLUSE	A.S.M.L.C. TIR A L'ARC	3300000	3301000	01460
3301040	MONTLUEL	LES ARCHERS DU CANTON DE MONTLUEL	3300000	3301000	01120
3301083	AMBERIEU EN BUGEY	CIE DES ARCHERS DU ROY	3300000	3301000	01500
3301091	MONTMERLE SUR SAONE	1RE CIE D'ARCHERS MONTMERLE 3 RIVIERES	3300000	3301000	01090
3301103	BELLEY	L'ARC CLUB BUGISTE	3300000	3301000	01300
3301111	STE JULIE	ASEGF STE JULIE	3300000	3301000	01003
3301115	DIVONNE LES BAINS	DIVONNE ARC CLUB	3300000	3301000	01220
3301118	CHATILLON SUR CHALARONNE	LES ARCHERS DU VAL DE SAONE	3300000	3301000	01540
3301125	BEYNOST	ULYSSE 2000 AIN	3300000	3301000	01700
3301130	NEUVILLE SUR AIN	LES ARCHERS DE LA VALLEE DE L'AIN	3300000	3301000	01160
3307056	PRIVAS	LES ARCHERS DE PRIVAS	3300000	3307000	07000
3307057	ANNONAY	COMPAGNIE D'ARC D'ANNONAY	3300000	3307000	07100
3307065	LABLACHERE	LES ARCHERS DE CHARLEMAGNE	3300000	3307000	07230
3307124	ST PERAY	AMICALE LAIQUE DE ST PERAY	3300000	3307000	07130
3307126	RUOMS	ARCHERS DE RUOMS	3300000	3307000	07120
3307137	JAUJAC	ARCHERS DE JAUJAC	3300000	3307000	07380
3307138	SATILLIEU	LES ARCHERS DU VAL D'AY	3300000	3307000	07290
3326002	VALENCE	ARCHERS VALENTINOIS	3300000	3326000	26000
3326009	SAINT PAUL 3 CHATEAUX	ARCHERS DU TRICASTIN	3300000	3326000	26130
3326038	ROMANS - BOURG DE PEAGE	LES ARCHERS DES DEUX RIVES	3300000	3326000	26100
3326045	ANCONE	CIE DES ARCHERS D'ANCONE	3300000	3326000	26200
3326064	CHATEAUNEUF DU RHONE	ARCHERS CASTELNEUVOIS	3300000	3326000	26780
3326073	OURCHES	ARCHERS DE LA RAYE	3300000	3326000	26120
3326075	PIERRELATTE	CIE ARC PIERRELATTINS	3300000	3326000	26700
3326082	PORTES LES VALENCE	LA FLECHE SOUS BOIS	3300000	3326000	26800
3326088	VALDROME	CLUB OMNISPORT DU HAUT DIOIS	3300000	3326000	26310
3326096	VALAURIE	COMPAGNIE DES ARCHERS DE VALAURIE	3300000	3326000	26230
3326098	ST BONNET DE VALCLERIEUX	ST BONNET VAL LOISIRS	3300000	3326000	26350
3326101	ST VALLIER SUR RHONE	AMICALE LAIQUE DE ST VALLIER	3300000	3326000	26240
3326117	CHARPEY	COMITE CULTUREL ET SPORTIF DE CHARPEY	3300000	3326000	26300
3326144	ST PAUL ASGE	ASGE CIE DE TIR A L'ARC TRICASTINE	3300000	3326000	26130
3338003	GRENOBLE 1ER	1ERE CIE D'ARC DU DAUPHINE	3300000	3338000	38100
3338008	BOURGOIN JALLIEU	LES ARCHERS DE LA JEUNE FRANCE	3300000	3338000	38300
3338020	VILLEFONTAINE	1\CIE D'ARC DE VILLEFONTAINE	3300000	3338000	38090
3338021	PONTCHARRA	1 CIE ARC PONTCHARRA	3300000	3338000	38530
3338029	VOIRON	1ERE CIE DE TIR A L'ARC DE VOIRON	3300000	3338000	38500
3338036	MEYLAN	LES ARCHERS DE ROCHASSON A MEYLAN	3300000	3338000	38240
3338037	CHARAVINES	LES ARCHERS DU LAC	3300000	3338000	38620
3338046	GRENOBLE AS	ASSOC.SPORTIVE DU CENGA GRENOBLE	3300000	3338000	38054
3338053	VOREPPE	ARC VOREPPIN	3300000	3338000	38340
3338070	MONESTIER DE CLERMONT	LES ARCHERS DE CHEVALEREUSE	3300000	3338000	38650
3338071	SALAISE SUR SANNE	 LES ARCHERS DU RHODIA	3300000	3338000	38150
3338072	LA MURE	CLUB DES ARCHERS MUROIS	3300000	3338000	38350
3338076	HEYRIEUX	CIE D'ARCHERS D'HEYRIEUX	3300000	3338000	38540
3338078	LANS EN VERCORS	CIE ARC LANS EN VERCORS	3300000	3338000	38250
3338093	ST CLAIR DU RHONE	LES ARCHERS ST CLAIROIS	3300000	3338000	38370
3338099	EYBENS	LES ARCHERS DU CHATEAU	3300000	3338000	38320
3338100	PRAPOUTEL	ARCHERS DES 7 LAUX	3300000	3338000	38190
3338103	VEZERONCE CURTIN	TIR A L'ARC VEZERONTIN	3300000	3338000	38510
3338104	L'ISLE D'ABEAU	L'ISLE D'ABEAU ARC CLUB	3300000	3338000	38080
3338107	SAINT MARCELLIN	LES ARCHERS DE ST MARCELLIN	3300000	3338000	38160
3338108	L ISLE D ABEAU	ASPTT NORD ISERE TIR A L ARC	3300000	3338000	38081
3338110	SASSENAGE	LES ARCHERS DE L OVALIE	3300000	3338000	38360
3338112	RIVES	CIE DES ARCHERS DE RIVES	3300000	3338000	38140
3338114	MORETTE	LES ARCHERS DES MONDALINES	3300000	3338000	38210
3338115	ST MARCELLIN	LES ARCHERS DE CLAIXWOOD	3300000	3338000	38160
3338123	VIENNE AC	ARC CLUB VIENNOIS	3300000	3338000	38200
3338134	VINAY	LES ARCHERS DU TRERY	3300000	3338000	38470
3338139	CHAMPIER	USC TIR A L'ARC	3300000	3338000	38260
3338143	MOIRANS	COMPAGNIE DES ARCHERS DE LA SURE	3300000	3338000	38500
3338146	1ERE CIE ASF/ARCHERS DU DRAC	1ERE CIE ASF/LES ARCHERS DU DRAC	3300000	3338000	38600
3338147	LA COTE SAINT ANDRE	MJC COTE ST ANDRE - TIR A L'ARC	3300000	3338000	38260
3338148	BOURGOIN JALLIEU	LES ARCHERS BERJALLIENS	3300000	3338000	38300
3342003	ST ETIENNE	1ERE CIE DES ARCHERS	3300000	3342000	42100
3342004	TERRENOIRE	A.S.J.A.T.	3300000	3342000	42100
3342028	ROANNE	ARC CLUB ROANNAIS	3300000	3342000	42300
3342044	MONTBRISON	CLUB MONTBRISONNAIS DE TIR A L'ARC	3300000	3342000	42600
3342053	SAINT CHAMOND	1ERE CIE ARCHERS ST CHAMOND	3300000	3342000	42400
3342063	IZIEUX	JEANNE D'ARC D'IZIEUX	3300000	3342000	42400
3342067	ANDREZIEUX-BOUTHEON	F.A.C TIR A L'ARC	3300000	3342000	42170
3342080	CHATEAUNEUF	DIANE CLUB	3300000	3342000	42800
3342105	MABLY	LES ARCHERS DE MABLY	3300000	3342000	42300
3342120	PELUSSIN	LES ARCHERS DU PILAT	3300000	3342000	42410
3342121	FEURS	ENVOL DE FEURS	3300000	3342000	42110
3342129	VILLEREST	LES ARCHERS DES REMPARTS	3300000	3342000	42300
3342149	UNIEUX	UNIEUX TIR A L ARC	3300000	3342000	42240
3369001	LYON 1ER	1ERE CIE ARCHERS DE LYON	3300000	3369000	69004
3369002	NEUVILLE SUR SAONE	COMPAGNIE DE TIR A L'ARC	3300000	3369000	69250
3369006	VILLEURBANNE CIE HERACLES	COMPAGNIE HERACLES	3300000	3369000	69100
3369008	ASCUL LYON	A.S.C.U.L. TIR A L'ARC	3300000	3369000	69001
3369016	VILLEFRANCHE	CIE DES ARCHERS CALADOIS	3300000	3369000	69400
3369021	ANSE	CIE ARCHERS ANSOIS	3300000	3369000	69480
3369024	RILLIEUX	ASCS TIR A L'ARC	3300000	3369000	69140
3369025	LOZANNE	CIE DES ARCHERS LOZANNAIS	3300000	3369000	69380
3369027	CALUIRE	LES ARCHERS DE CALUIRE	3300000	3369000	69300
3369034	CHASSIEU	CHASSIEU TIR A L'ARC	3300000	3369000	69680
3369038	CHAPONOST	EXCELSIOR	3300000	3369000	69630
3369039	TIR OLYMPIQUE VIENNOIS	TIR OLYMPIQUE VIENNOIS	3300000	3369000	69560
3369049	DARDILLY	CIE D'ARCHERS DE DARDILLY	3300000	3369000	69570
3369050	BRIGNAIS	ESPERANCE ET VAILLANTES	3300000	3369000	69340
3369051	LISSIEU	ASCMO LISSIEU	3300000	3369000	69380
3369054	PUSIGNAN	CIE TIR ARC DE PUSIGNAN	3300000	3369000	69330
3369055	OULLINS	LA FRATERNELLE D'OULLINS	3300000	3369000	69600
3369060	LYON 9EME	LES ARCHERS DU 9EME	3300000	3369000	69009
3369062	LYON 8EME	LES LIONS DU 8EME	3300000	3369000	69008
3369072	IRIGNY	CIE D'ARCHERS IRIGNOIS	3300000	3369000	69540
3369074	CORBAS	LES ARCHERS DE CORBAS	3300000	3369000	69960
3369076	MEYZIEU	C.T.A. MAJOLANE	3300000	3369000	69330
3369081	LYON 7EME	ARCHERS DE LUGDUNUM VII	3300000	3369000	69007
3369086	COMMUNAY	LES ARCHERS DE CORNAVAN	3300000	3369000	69360
3369087	SLCTA	ST LAURENT DE CHAMOUSSET TIR A L'ARC	3300000	3369000	69690
3369088	ST SYMPHORIEN SUR COISE	LES ARCHERS DES MONTS DU LYONNAIS	3300000	3369000	69590
3369089	LA TOUR DE SALVAGNY	SAGITTAIRE	3300000	3369000	69890
3369094	BRON CLUB DES ARCHERS	LES ARCHERS DE BRON	3300000	3369000	69500
3369095	SAINTE FOY LES LYON	LES ARCHERS DE L'OUEST	3300000	3369000	69110
3369099	VENISSIEUX	RHONE POULENC SPECIA	3300000	3369000	69200
3369106	VILLEURBANNE GSL	GROUPE SPORTIF LUGDUNUM	3300000	3369000	69100
3369107	MARCY L'ETOILE	ARCHERS DE MARCY CHARBONNIERES	3300000	3369000	69280
3369108	L'ARBRESLE	MJC DE L'ARBRESLE	3300000	3369000	69210
3369112	BRON TIR A L'ARC	BRON TIR A L'ARC	3300000	3369000	69500
3369116	ST PRIEST	ARC EN CIEL ST PRIEST	3300000	3369000	69800
3369117	TARARE	1ERE CIE DE TIR A L'ARC TARARE	3300000	3369000	69490
3369124	AMPLEPUIS	LES ARCHERS D'AMPLEPUIS	3300000	3369000	69550
3369126	SAINT JEAN DE TOUSLAS	REN'ARC	3300000	3369000	69700
3369127	T.A. GIVORS GIER SUD	TAGGS	3300000	3369000	69700
3369128	ST GENIS L'ARGENTIERE	ARCHERS SAINT GENOIS	3300000	3369000	69610
3369131	AMPUIS	P.A.N.D.A.	3300000	3369000	69420
3373001	AIX LES BAINS	1ER CIE D'AIX LES BAINS	3300000	3373000	73100
3373007	ALBERTVILLE	1ERE CIE D'ALBERTVILLE	3300000	3373000	73200
3373011	CHAMBERY	1ERE CIE D'ARC DE CHAMBERY	3300000	3373000	73000
3373031	SAINT ALBAN-LEYSSE	LES COMPAGNONS D'ULYSSE	3300000	3373000	73230
3373043	COISE	LES ARCHERS DU VAL COISIN	3300000	3373000	73800
3373106	BARBERAZ	LES ARCHERS DE BARBERAZ	3300000	3373000	73000
3373113	CHALLES LES EAUX	LES ARCHERS DU ROC NOIR	3300000	3373000	73190
3373116	COURCHEVEL	COURCHEVEL ARCHERY	3300000	3373000	73120
3373127	LE BOURGET DU LAC	TENNIS CLUB DU BOURGET DU LAC	3300000	3373000	73370
3373128	ARGENTINE	COMPAGNIE DE L'ARC	3300000	3373000	73220
3373130	MOUTIERS	1ERE CIE D'ARC DE MOUTIERS	3300000	3373000	73600
3373145	BOURG SAINT MAURICE	LES ARCHERS DE L'EDELWEISS	3300000	3373000	73700
3374013	THONON LES BAINS	LES ARCHERS DE RIPAILLE	3300000	3374000	74550
3374014	ANNECY	A.S.O. - S.N.R.ANNECY	3300000	3374000	74000
3374016	ANNEMASSE	1 ERE CIE ANNEMASSE	3300000	3374000	74100
3374025	ANNECY ST SEBASTIEN	1ERE CIE D'ARC  ANNECY ST SEBASTIEN	3300000	3374000	74000
3374026	CLUSES	ARC CLUB CLUSIEN	3300000	3374000	74460
3374034	SAMOENS	LES ARCHERS DE SAMOENS	3300000	3374000	74340
3374039	SALLANCHES	LES ARCHERS DE LA SALLANCHE	3300000	3374000	74700
3374052	BONNEVILLE	LES ARCHERS DU FAUCIGNY	3300000	3374000	74130
3374055	MARIGNIER	LES ARCHERS DE L'ARVE	3300000	3374000	74490
3374069	SEYNOD	CIE DE TIR A L'ARC LES SAGITTAIRES	3300000	3374000	74600
3374074	ST JORIOZ	LES ARCHERS DU LAC	3300000	3374000	74410
3374079	ST JULIEN EN GENEVOIS	CIE ARCHERS ST JULIEN	3300000	3374000	74160
3374081	THONES	ARCHERS VALLEE THONES	3300000	3374000	74940
3374131	TANINGES	LES ARCHERS JACQUEMARD	3300000	3374000	74440
3374133	BERNEX	LES ARCHERS DU GAVOT	3300000	3374000	74500
3374140	POISY	POISY ANIMATION JEUNES	3300000	3374000	74330
3374141	DOUVAINE	L'ARQUEBUSE DE DOUVAINE	3300000	3374000	74140
342A002	SARTENE	ARC CLUB SARTENAIS	3400000	342A000	20100
342A007	CARGESE	INSEME TIR A L'ARC	3400000	342A000	20130
342A015	LECCI	ARCHER-CLUB DE LECCI	3400000	342A000	20137
342A017	MEZZAVIA  AJACCIO ASPTT	ASPTT AJACCIO	3400000	342A000	20167
342A018	AJACCIO CEDEX 1	ASSOCIATION CORSE DES ARCHERS D'AJACCIO	3400000	342A000	20181
342B008	BASTIA ASPTT	ASPTT BASTIA	3400000	342B000	20295
342B009	CALVI	CLUB DE CALVI BALAGNE	3400000	342B000	20214
342B014	BASTIA PIETRABUGNO	CIE D'ARC DE PIETRABUGNO	3400000	342B000	20600
3597001	ST PIERRE	LES ARCHERS DE ST-PIERRE REUNIO	3500000	3535	97432
3597012	LE PORT	LES ARCHERS PORTOIS	3500000	3535	97460
3597015	ST GILLES LES BAINS	LA FLECHE DE L'OUEST	3500000	3535	97434
3597022	SAINT DENIS DE LA REUNION	ARCHERS DE SAINT DENIS	3500000	3535	97400
3597024	SAINT ANDRE	LES ARCHERS DU COLOSSE	3500000	3535	97412
3597025	OUANGANI	ARCHERS DE L'HIPPOCAMPE	3500000	3535	97670
3697002	CAYENNE	LES ARCHERS DE CAYENNE	3600000	3636	97351
3797104	POINTE A PITRE ARCHERS	ARCHERS DE POINTE A PITRE	3700000	3737	97110
3797107	ST BARTHELEMY	MRS FRANCS ARCHERS DE ST BARTHELEMY	3700000	3737	97133
3797115	SAINT MARTIN	LES ARCHERS DE SAINT MARTIN	3700000	3737	97150
3797117	YO ARCHERS CLUB	YO CLUB	3700000	3737	97130
3797118	SAINTE-ROSE	CLUB LES ARCHERS DU BWA BANDE	3700000	3737	97115
3899001	NOUMEA	COMPAGNIE D'ARC DE NOUMEA	3800000	38992	98802
3899002	MONT DORE	ARCHERIE CLUB MONT DORE	3800000	38992	98810
3899003	PAITA	LES ARCHERS DE PAITA	3800000	38992	98890
3899005	LA FOA	LES ARCHER C.M.O LA FOA	3800000	38992	
3899106	TOUHO	CIE DES ARCHERS DE LA COTE EST	3800000	38991	98831
3899108	POUEMBOUT	LES ARCHERS DE LA TIPINGA	3800000	38991	98860
3899109	KOUMAC	LES ARCHERS DE KOUMAC	3800000	38991	98850
3899110	NOUMEA	LES FLECHES DE DUMBEA	3800000	38992	98847
3997001	FORT DE FRANCE	ASSOCIATION CARIBEENNE DE TIR A L'ARC	3900000	3939	97233
3997002	TSCP	TRAP-SKEET-CIBLE-PILOTIN	3900000	3939	97211
3997005	LAMENTIN	LE MOUSQUET	3900000	3939	97212
